	A1004	Arecibo 	Arecibo Observatory
A1153	A1149	NOAA Sp Wthr Prediction Ctr	National Oceanic and Atmospheric Administration, Boulder, Space Weather Prediction Center
A1271	113461	LSCE	Laboratoire des Sciences du Climat et de l'Environnement
A1271	130008	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
A1271	A1280	LATMOS	Laboratoire Atmospheres Milieux Observations Spatiales
A1309	A1310	La Palma Obs	La Palma Observatories
A1309	A1311	IAC Tenerife	Tenerife Observatory
A1344	A1343	INI Belgrade	Isaac Newton Institute of Chile, Belgrade
A1344	A1440	INI Crimean Branch	Isaac Newton Institute of Chile, Crimean Branch
A1344	A1462	INI Russia	Isaac Newton Institute of Chile, Russia
A3009	A1373	Inst Pl Phy Lsr Mfusion	Institute of Plasma Physics and Laser Microfusion, Warsaw
	1004	Aalborg U	Aalborg University
	1006	Aarhus U	Aarhus University
1006	123250	Aarhus Inst Phy Ast	Aarhus University, Institute for Physics and Astronomy
1006	86966	Aarhus Inst Geos	Aarhus University, Institute for Geoscience
	1018	Robert Gordon U	Robert Gordon University
	1019	U Aberdeen	University of Aberdeen
1019	A1755	SUPA	Scottish Universities Physics Alliance
	1023	US Army	United States Army
1023	172344	US Army Res Off	US Army Research Office, Research Triangle Park, NC
1023	40737	USACE	US Army Corps of Engineers
1023	47654	ARL Aberdeen	Army Research Laboratory, Aberdeen Proving Ground
1023	58217	ARL Adelphi	Army Research Laboratory, Adelphi MD
1023	111060	ARL Monmouth	Army Research Laboratory, Fort Monmouth, NJ
1023	246226	White Sands	US Army White Sands Missile Range
	1026	Aberystwyth U	Aberystwyth University
1026	151346	Aberystwyth Inst Geog Earth Sci	Aberystwyth University, Institute of Geography and Earth Sciences
1026	151350	Aberystwyth Inst Math Phy	Aberystwyth University, Institute of Mathematics and Physics
	1032	Hardin-Simmons U	Hardin-Simmons University
	1033	McMurry U	McMurry University
	1040	Abo Akademi U	Abo Akademi University
	1044	OH Nrthn U	Ohio Northern University
	1057	S Austr Mus	South Australian Museum
	1065	Flinders U	Flinders University
	1066	U Adelaide	University of Adelaide
1066	A1673	Adelaide Sch Phy	University of Adelaide, School of Physics
1066	A1674	Adelaide Sch Earth Env Sci	University of Adelaide, School of Earth and Environmental Sciences
	1067	U South Austr	University of South Australia
1068	223100	UMD Dep Chem	University of Maryland, Department of Chemistry
1068	248497	UMD Dep Atmos Ocean Sci	University of Maryland, Department of Atmospheric and Oceanic Science
1068	248530	UMD Dep Phy	University of Maryland, Department of Physics
1068	248531	UMD Dep Ast	University of Maryland, Department of Astronomy
1068	88968	UMD Inst Phy Sci Tech	Institute for Physical Science and Technology, UMD College Park
1068	A1045	CRESST	Center for Research and Exploration in Space Science & Technology
	1069	UMD Sys	University System of Maryland
1069	1068	UMD Coll Park	University of Maryland, College Park
1069	12265	UMD Balt	University of Maryland, Baltimore County
	1074	US DoE	US Department of Energy
1074	6865	Pacific NW Natl Lab	Pacific Northwest National Laboratory
1074	17210	Ames Res Lab	Ames Research Laboratory
1074	17217	PPPL	Princeton Plasma Physics Laboratory
	1085	SUNY Sys	State University of New York System
1085	1084	SUNY Albany	SUNY Albany
1085	12292	SUNY Buffalo	SUNY Buffalo
1085	12301	SUNY Stony Brook	SUNY Stony Brook
1085	14625	SUNY Adirondack	SUNY Adirondack
1085	14787	SUNY Binghamton	SUNY Binghamton
1085	14788	SUNY Brockport	SUNY Brockport
1085	14792	SUNY Canton	SUNY Canton
1085	14795	SUNY Cobleskill	SUNY Cobleskill
1085	14797	SUNY Syracuse	SUNY Syracuse
1085	14801	SUNY Delhi	SUNY Delhi
1085	14805	SUNY Farmingdale	SUNY Farmingdale
1085	14808	SUNY Fredonia	SUNY Fredonia
1085	14811	SUNY Geneseo	SUNY Geneseo
1085	14821	SUNY New Paltz	SUNY New Paltz
1085	14825	SUNY Oneonta	SUNY Oneonta
1085	14828	SUNY Oswego	SUNY Oswego
1085	14829	SUNY Plattsburgh	SUNY Plattsburgh
1085	14830	SUNY Potsdam	SUNY Potsdam
1085	14840	SUNY Purchase	SUNY Purchase
	1097	USDA	US Department of Agriculture
	1098	Albion Coll	Albion College
	1104	UNM	University of New Mexico
